Unnamed: 0.1,Unnamed: 0,lat,lon,timestamp,datetime,time_delta,distance_Olin,distance_to_chosen
104,909882,47.4437686,-122.3029862,2022-03-09 17:56:24.552000+00:00,2022-03-09 17:56:24.552000+00:00,0 days 00:01:23.935000,338.6878159616305,330.84774343202685
105,909883,47.4437948,-122.3029776,2022-03-09 17:57:00.665000+00:00,2022-03-09 17:57:00.665000+00:00,0 days 00:00:36.113000,338.6884741408863,330.8484778148624
106,909884,47.4436108,-122.3029816,2022-03-09 17:57:36.711000+00:00,2022-03-09 17:57:36.711000+00:00,0 days 00:00:36.046000,338.6800191875005,330.8395338673036
107,909885,47.4436868,-122.3030368,2022-03-09 17:58:11.493000+00:00,2022-03-09 17:58:11.493000+00:00,0 days 00:00:34.782000,338.68737538704806,330.84704549761346
108,909886,47.4437488,-122.3029958,2022-03-09 17:59:25.882000+00:00,2022-03-09 17:59:25.882000+00:00,0 days 00:01:14.389000,338.687529322692,330.8473966655765
109,909887,47.4436112,-122.3030184,2022-03-09 17:59:59.725000+00:00,2022-03-09 17:59:59.725000+00:00,0 days 00:00:33.843000,338.68253936500616,330.8420249740416
110,909888,47.443593,-122.3030533,2022-03-09 18:00:31.691000+00:00,2022-03-09 18:00:31.691000+00:00,0 days 00:00:31.966000,338.6840483109741,330.8434573061769
111,909889,47.4436084,-122.3030207,2022-03-09 18:01:35.869000+00:00,2022-03-09 18:01:35.869000+00:00,0 days 00:01:04.178000,338.6825629001905,330.84203923501485
112,909890,47.4436492,-122.3030214,2022-03-09 18:02:35.895000+00:00,2022-03-09 18:02:35.895000+00:00,0 days 00:01:00.026000,338.6845454465751,330.8441289103114
113,909891,47.4436345,-122.3030002,2022-03-09 18:03:35.903000+00:00,2022-03-09 18:03:35.903000+00:00,0 days 00:01:00.008000,338.6824073745773,330.8419693897275
114,909892,47.4438737,-122.3027709,2022-03-09 18:04:32.570000+00:00,2022-03-09 18:04:32.570000+00:00,0 days 00:00:56.667000,338.6781683248038,330.83854953994484
115,909893,47.4436836,-122.3030108,2022-03-09 18:05:35.956000+00:00,2022-03-09 18:05:35.956000+00:00,0 days 00:01:03.386000,338.6854564808221,330.8451394302674
116,909894,47.4436726,-122.3030026,2022-03-09 18:06:35.989000+00:00,2022-03-09 18:06:35.989000+00:00,0 days 00:01:00.033000,338.6843774516089,330.8440380770004
117,909895,47.4436835,-122.3030034,2022-03-09 18:07:36.036000+00:00,2022-03-09 18:07:36.036000+00:00,0 days 00:01:00.047000,338.6849487835182,330.8446375273823
118,909896,47.4436404,-122.3030279,2022-03-09 18:08:35.968000+00:00,2022-03-09 18:08:35.968000+00:00,0 days 00:00:59.932000,338.68456988395445,330.84412479652264
119,909897,47.4436737,-122.3030067,2022-03-09 18:09:36.052000+00:00,2022-03-09 18:09:36.052000+00:00,0 days 00:01:00.084000,338.6847082859784,330.8443684584537
120,909898,47.4436691,-122.3030207,2022-03-09 18:10:36.085000+00:00,2022-03-09 18:10:36.085000+00:00,0 days 00:01:00.033000,338.6854416592895,330.84507822719854
121,909899,47.4436565,-122.3029951,2022-03-09 18:11:36.139000+00:00,2022-03-09 18:11:36.139000+00:00,0 days 00:01:00.054000,338.68310412403366,330.8427283893733
122,909900,47.4436747,-122.3030008,2022-03-09 18:12:36.143000+00:00,2022-03-09 18:12:36.143000+00:00,0 days 00:01:00.004000,338.68435470839967,330.8440223509553
